#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
        6000       1.745079e-02       1.151750e-03       7.507356e-03       1.878173e-01       6.915340e-03       4.855259e-02
        6100       1.877496e-02       7.927264e-04       7.983108e-03       1.930409e-01       6.763869e-03       4.748048e-02
        6200       2.392156e-02       9.904541e-04       9.552243e-03       1.582703e-01       6.113190e-03       4.571629e-02
        6300       1.996552e-02       1.873422e-04       8.288093e-03       1.751655e-01       5.723098e-03       4.655938e-02
        6400       2.258807e-02       1.346892e-04       8.516495e-03       1.708052e-01       4.890712e-03       4.629981e-02
        6500       2.245009e-02       1.044145e-03       8.277720e-03       1.269894e-01       5.799416e-03       4.220357e-02
        6600       2.116917e-02       9.379364e-04       7.934592e-03       1.687407e-01       7.045384e-03       4.397552e-02
        6700       1.996718e-02       8.193230e-04       8.146439e-03       2.221649e-01       6.114097e-03       4.471127e-02
        6800       2.146012e-02       8.129708e-04       9.081045e-03       1.499963e-01       4.868152e-03       4.366662e-02
        6900       2.283436e-02       4.711046e-04       8.493389e-03       1.738309e-01       8.019003e-03       4.446425e-02
        7000       2.245758e-02       8.457139e-04       8.371397e-03       1.463897e-01       3.382652e-03       4.380692e-02
        7100       2.371969e-02       2.599669e-03       8.594661e-03       1.523139e-01       6.866070e-03       4.734338e-02
        7200       2.380361e-02       4.858803e-04       9.115430e-03       1.875173e-01       7.282138e-03       4.887788e-02
        7300       2.139786e-02       7.122519e-04       8.461053e-03       1.884149e-01       7.418159e-03       4.407883e-02
        7400       1.584126e-02       5.091069e-04       6.078794e-03       1.491005e-01       5.070353e-03       4.524881e-02
        7500       1.949746e-02       1.103391e-03       7.177109e-03       1.476039e-01       8.185604e-03       4.642247e-02
        7600       2.348996e-02       8.667247e-04       9.182668e-03       1.691356e-01       4.608780e-03       4.556354e-02
        7700       2.066926e-02       5.411364e-04       8.441445e-03       1.604963e-01       8.392096e-03       4.399349e-02
        7800       2.406626e-02       5.474025e-04       8.852512e-03       1.944590e-01       5.325899e-03       4.683617e-02
        7900       2.029768e-02       2.022589e-04       8.327268e-03       1.912119e-01       8.776366e-03       4.388062e-02
        8000       2.141329e-02       5.634723e-04       8.734894e-03       1.926217e-01       8.359732e-03       4.582991e-02
        8100       2.273602e-02       1.009201e-03       9.197321e-03       1.671559e-01       4.965370e-03       4.621836e-02
        8200       2.098675e-02       5.229567e-04       8.522433e-03       1.857790e-01       8.169717e-03       4.489572e-02
        8300       1.845045e-02       1.836342e-04       7.537329e-03       1.803737e-01       6.938016e-03       4.683178e-02
        8400       2.024955e-02       9.230217e-04       8.228996e-03       1.804305e-01       6.466313e-03       4.879152e-02
        8500       2.155483e-02       7.435208e-04       8.831850e-03       1.908937e-01       6.395047e-03       4.815948e-02
        8600       1.826122e-02       9.253043e-04       7.714611e-03       2.548086e-01       9.011721e-03       4.408304e-02
        8700       2.056637e-02       3.105542e-04       7.501276e-03       2.247112e-01       4.057485e-03       4.636289e-02
        8800       2.288120e-02       2.787078e-04       8.286398e-03       2.266103e-01       4.987465e-03       4.758638e-02
        8900       2.235761e-02       1.297452e-03       8.156402e-03       1.649862e-01       6.212553e-03       4.673030e-02
        9000       2.537638e-02       3.357635e-04       8.918516e-03       1.611799e-01       5.323008e-03       4.625593e-02
        9100       2.432639e-02       1.342228e-03       8.560649e-03       1.685841e-01       7.615272e-03       4.763356e-02
        9200       2.226010e-02       1.181506e-03       7.974408e-03       1.701649e-01       6.605272e-03       4.394047e-02
        9300       1.947420e-02       2.021941e-03       7.937140e-03       1.760242e-01       5.649943e-03       4.451158e-02
        9400       2.038893e-02       2.256398e-04       7.580495e-03       1.530416e-01       7.883278e-03       4.604298e-02
        9500       2.154569e-02       7.467370e-04       8.263836e-03       1.719600e-01       4.472920e-03       4.800248e-02
        9600       2.192785e-02       1.238070e-03       8.003187e-03       1.802021e-01       7.194754e-03       4.585462e-02
        9700       2.213355e-02       1.577037e-03       9.107085e-03       1.895584e-01       8.150595e-03       4.597783e-02
        9800       2.222738e-02       2.349827e-04       8.631727e-03       1.589184e-01       7.258131e-03       4.248341e-02
        9900       2.109738e-02       1.013559e-03       8.710424e-03       1.474566e-01       5.312364e-03       4.186757e-02
       10000       2.121018e-02       1.787843e-03       8.694172e-03       1.952264e-01       5.759578e-03       4.260716e-02
       10100       2.069251e-02       5.304049e-04       8.602684e-03       1.578988e-01       6.633302e-03       4.358483e-02
       10200       1.852696e-02       1.126185e-03       8.885993e-03       1.769365e-01       7.845385e-03       4.589918e-02
       10300       1.523983e-02       5.620752e-04       6.793811e-03       1.471480e-01       6.261859e-03       4.469161e-02
       10400       1.913109e-02       7.753721e-04       7.184676e-03       1.754107e-01       6.306946e-03       4.400094e-02
       10500       2.357604e-02       2.581058e-04       9.013435e-03       1.899540e-01       7.180783e-03       4.494180e-02
       10600       2.021963e-02       1.142446e-03       8.163270e-03       2.357989e-01       6.229872e-03       4.546694e-02
       10700       1.771637e-02       6.157780e-04       6.988744e-03       1.461180e-01       8.757741e-03       4.305806e-02
       10800       2.092375e-02       1.057907e-03       7.881464e-03       2.046476e-01       5.255177e-03       4.388024e-02
       10900       2.171533e-02       3.590367e-04       9.290658e-03       2.483594e-01       7.163784e-03       4.500367e-02
       11000       2.310123e-02       5.975149e-04       8.616538e-03       2.362329e-01       6.731093e-03       4.534348e-02
       11100       2.340637e-02       4.604915e-04       8.622201e-03       1.772654e-01       3.885371e-03       4.180999e-02
       11200       2.041502e-02       7.862778e-04       7.926508e-03       1.718333e-01       5.453112e-03       4.506056e-02
       11300       1.913528e-02       3.945974e-04       7.967581e-03       1.944625e-01       4.373813e-03       4.472083e-02
       11400       2.099390e-02       7.564277e-04       8.028301e-03       1.656942e-01       5.658107e-03       4.390951e-02
       11500       1.890552e-02       1.790529e-03       7.309762e-03       2.220916e-01       8.218826e-03       4.503067e-02
       11600       2.076497e-02       4.384084e-04       8.520122e-03       1.689047e-01       3.423131e-03       4.450428e-02
       11700       2.191877e-02       1.374645e-03       9.079155e-03       1.333592e-01       5.659978e-03       4.415846e-02
       11800       2.180525e-02       6.091368e-04       7.699165e-03       1.460124e-01       4.466424e-03       4.352718e-02
       11900       2.164801e-02       2.406466e-04       8.526822e-03       1.510101e-01       6.838956e-03       4.379083e-02
       12000       2.246125e-02       5.549823e-04       8.508347e-03       1.743493e-01       9.877455e-03       4.705162e-02
       12100       1.889808e-02       1.373590e-03       7.546443e-03       1.612527e-01       6.499158e-03       4.440116e-02
       12200       1.710860e-02       2.710515e-04       6.980252e-03       1.727035e-01       5.941472e-03       4.588626e-02
       12300       1.654909e-02       5.477375e-04       7.402918e-03       2.160964e-01       7.217012e-03       4.684266e-02
       12400       1.798273e-02       7.426918e-04       7.906758e-03       2.302006e-01       6.488369e-03       4.760210e-02
       12500       2.108842e-02       6.971657e-04       7.815977e-03       1.591173e-01       5.225282e-03       4.497085e-02
       12600       2.472049e-02       8.214026e-04       9.066261e-03       2.020773e-01       4.383301e-03       4.443800e-02
       12700       2.282158e-02       3.549588e-04       8.957754e-03       1.699063e-01       4.531015e-03       4.735959e-02
       12800       2.305534e-02       1.044362e-03       8.394963e-03       1.516452e-01       5.883231e-03       4.364980e-02
       12900       1.918225e-02       5.059118e-04       7.566100e-03       1.412752e-01       5.818799e-03       4.381371e-02
       13000       1.858997e-02       3.134247e-04       8.111182e-03       1.751126e-01       5.032500e-03       4.519171e-02
       13100       1.723459e-02       1.220165e-04       7.360374e-03       1.441741e-01       5.097058e-03       4.354639e-02
       13200       1.950781e-02       2.028772e-03       7.820638e-03       1.568880e-01       5.774702e-03       4.412939e-02
       13300       1.809219e-02       3.336051e-04       7.470293e-03       1.346587e-01       5.356610e-03       4.434724e-02
       13400       1.785415e-02       5.657336e-04       7.925783e-03       2.652095e-01       5.786293e-03       4.608481e-02
       13500       2.280253e-02       3.194062e-04       8.451332e-03       1.736563e-01       5.733973e-03       4.538553e-02
       13600       1.990541e-02       7.822817e-04       8.435322e-03       1.713365e-01       3.088529e-03       4.697678e-02
       13700       1.705440e-02       9.863508e-04       7.262841e-03       2.199543e-01       8.494968e-03       4.706390e-02
       13800       1.900735e-02       2.333595e-04       7.961764e-03       1.621545e-01       6.161071e-03       4.376215e-02
       13900       1.812672e-02       1.215537e-03       7.733913e-03       1.604137e-01       6.505611e-03       4.596867e-02
       14000       1.934495e-02       1.227576e-03       7.919915e-03       2.233928e-01       7.547788e-03       4.560652e-02
       14100       2.055591e-02       4.643664e-04       7.909209e-03       1.710196e-01       3.700049e-03       4.244812e-02
       14200       2.262710e-02       3.307560e-05       8.747494e-03       1.450772e-01       4.740623e-03       4.452848e-02
       14300       2.141724e-02       7.818047e-04       8.347328e-03       2.037377e-01       3.887142e-03       4.272902e-02
       14400       2.021056e-02       2.753813e-04       7.725637e-03       1.356515e-01       5.933101e-03       4.204482e-02
       14500       1.951225e-02       1.720034e-03       8.265215e-03       1.759558e-01       6.328464e-03       4.451166e-02
       14600       1.844683e-02       2.736144e-04       7.540806e-03       1.746303e-01       4.724213e-03       4.288511e-02
       14700       1.959618e-02       7.242406e-04       8.010328e-03       1.864536e-01       5.961216e-03       4.306213e-02
       14800       2.456314e-02       6.399208e-04       9.319759e-03       1.931301e-01       7.006411e-03       4.529545e-02
       14900       2.565541e-02       1.315797e-03       1.022869e-02       1.649462e-01       3.927555e-03       4.611310e-02
       15000       2.294343e-02       1.498164e-03       8.775346e-03       1.941827e-01       8.473421e-03       4.326153e-02
       15100       2.045112e-02       1.819477e-03       8.278113e-03       1.622707e-01       5.813862e-03       4.671417e-02
