#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.45e+01      1.90e-01      7.73e-01    5.0e-03
    100      2.75e+01      3.33e-01      8.70e-01    5.0e-03
    200      1.45e+01      8.63e-03      4.59e-01    5.0e-03
    300      2.45e+01      3.00e-01      7.75e-01    5.0e-03
    400      1.21e+01      4.31e-02      3.81e-01    5.0e-03
    500      1.15e+01      1.37e-01      3.64e-01    5.0e-03
    600      1.09e+01      3.84e-02      3.43e-01    5.0e-03
    700      1.38e+01      1.54e-02      4.37e-01    5.0e-03
    800      1.07e+01      7.73e-02      3.38e-01    5.0e-03
    900      1.58e+01      2.41e-02      5.01e-01    5.0e-03
   1000      1.07e+01      7.30e-02      3.38e-01    5.0e-03
   1100      1.35e+01      6.05e-02      4.28e-01    5.0e-03
   1200      1.13e+01      5.81e-02      3.58e-01    5.0e-03
   1300      1.09e+01      4.96e-02      3.44e-01    5.0e-03
   1400      9.78e+00      2.76e-01      3.09e-01    5.0e-03
   1500      1.13e+01      4.47e-02      3.58e-01    5.0e-03
   1600      9.07e+00      1.13e-01      2.87e-01    5.0e-03
   1700      4.30e+00      7.69e-02      1.36e-01    5.0e-03
   1800      9.25e+00      3.62e-02      2.93e-01    5.0e-03
   1900      9.75e+00      1.02e-02      3.08e-01    5.0e-03
   2000      1.03e+01      5.00e-03      3.25e-01    5.0e-03
   2100      1.13e+01      2.29e-01      3.56e-01    5.0e-03
   2200      6.91e+00      4.36e-02      2.19e-01    5.0e-03
   2300      1.07e+01      7.67e-02      3.39e-01    5.0e-03
   2400      4.84e+00      2.05e-02      1.53e-01    5.0e-03
   2500      5.24e+00      7.97e-02      1.66e-01    5.0e-03
   2600      6.92e+00      4.28e-02      2.19e-01    5.0e-03
   2700      1.04e+01      6.15e-02      3.29e-01    5.0e-03
   2800      8.92e+00      1.42e-02      2.82e-01    5.0e-03
   2900      9.89e+00      5.71e-02      3.13e-01    5.0e-03
   3000      6.05e+00      1.56e-02      1.91e-01    5.0e-03
   3100      1.34e+01      2.92e-01      4.22e-01    5.0e-03
   3200      1.04e+01      1.45e-01      3.29e-01    5.0e-03
   3300      4.64e+00      2.82e-02      1.47e-01    5.0e-03
   3400      1.60e+01      6.96e-02      5.07e-01    5.0e-03
   3500      1.62e+01      9.30e-02      5.11e-01    5.0e-03
   3600      9.78e+00      7.44e-02      3.09e-01    5.0e-03
   3700      1.43e+01      1.70e-01      4.53e-01    5.0e-03
   3800      9.94e+00      7.89e-02      3.14e-01    5.0e-03
   3900      5.57e+00      2.89e-02      1.76e-01    5.0e-03
   4000      1.08e+01      8.34e-02      3.42e-01    5.0e-03
   4100      9.00e+00      2.18e-02      2.85e-01    5.0e-03
