#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.95e+01      1.85e+00      9.16e-01    5.0e-03
    100      2.21e+01      2.32e-01      6.97e-01    5.0e-03
    200      1.16e+01      2.04e-01      3.67e-01    5.0e-03
    300      1.24e+01      1.45e-01      3.93e-01    5.0e-03
    400      1.31e+01      8.48e-02      4.13e-01    5.0e-03
    500      7.92e+00      1.14e-01      2.50e-01    5.0e-03
    600      9.87e+00      1.39e-01      3.12e-01    5.0e-03
    700      1.31e+01      2.49e-03      4.15e-01    5.0e-03
    800      1.33e+01      3.18e-01      4.19e-01    5.0e-03
    900      1.24e+01      1.66e-02      3.93e-01    5.0e-03
   1000      1.13e+01      2.21e-01      3.56e-01    5.0e-03
   1100      7.08e+00      7.65e-02      2.24e-01    5.0e-03
   1200      1.34e+01      5.91e-02      4.22e-01    5.0e-03
   1300      6.23e+00      1.03e-01      1.97e-01    5.0e-03
   1400      1.00e+01      2.39e-01      3.17e-01    5.0e-03
   1500      1.16e+01      1.36e-01      3.66e-01    5.0e-03
   1600      8.78e+00      1.33e-02      2.78e-01    5.0e-03
   1700      8.70e+00      3.26e-02      2.75e-01    5.0e-03
   1800      7.24e+00      9.08e-02      2.29e-01    5.0e-03
   1900      1.03e+01      1.02e-01      3.27e-01    5.0e-03
   2000      6.06e+00      2.08e-01      1.91e-01    5.0e-03
   2100      4.33e+00      1.12e-01      1.37e-01    5.0e-03
   2200      1.05e+01      5.36e-02      3.31e-01    5.0e-03
   2300      1.35e+01      3.01e-02      4.27e-01    5.0e-03
   2400      1.48e+01      1.39e-01      4.69e-01    5.0e-03
   2500      4.55e+00      1.23e-01      1.44e-01    5.0e-03
   2600      1.29e+01      1.07e-01      4.07e-01    5.0e-03
   2700      4.41e+00      6.32e-02      1.39e-01    5.0e-03
   2800      8.80e+00      3.52e-03      2.78e-01    5.0e-03
   2900      1.40e+01      2.10e-01      4.44e-01    5.0e-03
   3000      1.06e+01      1.98e-01      3.36e-01    5.0e-03
   3100      8.87e+00      1.03e-01      2.80e-01    5.0e-03
   3200      1.08e+01      4.35e-02      3.43e-01    5.0e-03
   3300      1.34e+01      8.90e-02      4.23e-01    5.0e-03
   3400      9.87e+00      2.21e-01      3.11e-01    5.0e-03
   3500      8.45e+00      1.24e-01      2.67e-01    5.0e-03
   3600      1.14e+01      1.34e-02      3.61e-01    5.0e-03
   3700      7.05e+00      6.58e-02      2.23e-01    5.0e-03
   3800      8.40e+00      1.02e-01      2.66e-01    5.0e-03
   3900      9.19e+00      2.07e-02      2.91e-01    5.0e-03
   4000      8.58e+00      1.85e-01      2.71e-01    5.0e-03
   4100      8.30e+00      7.98e-02      2.62e-01    5.0e-03
   4200      8.96e+00      1.16e-01      2.83e-01    5.0e-03
   4300      8.09e+00      8.98e-02      2.56e-01    5.0e-03
   4400      9.16e+00      7.46e-02      2.90e-01    5.0e-03
   4500      8.11e+00      3.66e-02      2.56e-01    5.0e-03
   4600      1.17e+01      3.16e-04      3.71e-01    5.0e-03
   4700      1.03e+01      2.24e-01      3.26e-01    5.0e-03
   4800      7.37e+00      3.06e-01      2.32e-01    5.0e-03
   4900      5.18e+00      3.03e-01      1.63e-01    5.0e-03
   5000      9.02e+00      5.95e-02      2.92e-01    4.7e-03
   5100      1.44e+01      1.03e-02      4.67e-01    4.7e-03
   5200      8.28e+00      4.25e-02      2.68e-01    4.7e-03
   5300      8.97e+00      8.06e-02      2.89e-01    4.7e-03
   5400      8.93e+00      8.01e-02      2.88e-01    4.7e-03
   5500      5.43e+00      2.28e-02      1.76e-01    4.7e-03
   5600      9.88e+00      3.05e-02      3.20e-01    4.7e-03
   5700      4.01e+00      1.92e-02      1.30e-01    4.7e-03
   5800      5.45e+00      2.11e-02      1.77e-01    4.7e-03
   5900      7.50e+00      1.23e-04      2.43e-01    4.7e-03
   6000      7.30e+00      4.77e-02      2.36e-01    4.7e-03
   6100      5.91e+00      6.76e-02      1.91e-01    4.7e-03
   6200      1.03e+01      3.21e-03      3.35e-01    4.7e-03
   6300      9.40e+00      1.13e-03      3.05e-01    4.7e-03
   6400      4.60e+00      4.20e-02      1.49e-01    4.7e-03
   6500      1.35e+01      4.43e-03      4.39e-01    4.7e-03
   6600      7.85e+00      1.87e-04      2.55e-01    4.7e-03
